,lgX,eventId,eventStart,Teamid_0,Teamid_1,siX,btX,marketLineId,marketId,points,american_price,price,sourcePrice
119,lg1:pt5:live,21911,2022-12-16T01:15:00,27,28,si0:ms1:an0,bt1,245,222152040,1513930,0.0,245,3.45
120,lg1:pt5:live,21911,2022-12-16T01:15:00,27,28,si0:ms8:an0,bt2,-106,222163824,1513916,-0.5,-106,-106.0
121,lg1:pt5:live,21911,2022-12-16T01:15:00,27,28,si0:ms8:an0,bt3,-105,222163828,1513926,13.5,-105,-105.0
122,lg1:pt5:live,21911,2022-12-16T01:15:00,27,28,si0:ms8:an0,bt1,-143,222163820,1513930,,-143,-143.0
123,lg1:pt5:live,21911,2022-12-16T01:15:00,27,28,si0:ms11:an0,bt2,-110,222152869,1513916,-1.0,-110,2.0202
124,lg1:pt5:live,21911,2022-12-16T01:15:00,27,28,si0:ms11:an0,bt3,-110,222152874,1513926,-1.0,-110,1.90476
125,lg1:pt5:live,21911,2022-12-16T01:15:00,27,28,si0:ms11:an0,bt1,-110,222152867,1513930,,-110,1.76991
126,lg1:pt5:live,21911,2022-12-16T01:15:00,27,28,si0:ms60:an0,bt2,105,222152209,1513916,-0.5,105,2.05
127,lg1:pt5:live,21911,2022-12-16T01:15:00,27,28,si0:ms60:an0,bt3,-105,222152240,1513926,7.5,-105,1.95
128,lg1:pt5:live,21911,2022-12-16T01:15:00,27,28,si1:ms21:an0,bt3,-105,222154043,1513921,12.5,-105,-105.0
129,lg1:pt5:live,21911,2022-12-16T01:15:00,27,28,si1:ms21:an0,bt1,105,222154037,1513929,,105,105.0
130,lg1:pt5:live,21911,2022-12-16T01:15:00,27,28,si0:ms21:an0,bt3,-133,222154046,1513926,12.5,-133,-133.0
131,lg1:pt5:live,21911,2022-12-16T01:15:00,27,28,si0:ms21:an0,bt1,-143,222154040,1513930,,-143,-143.0
132,lg1:pt6:live,21911,2022-12-16T01:15:00,27,28,si1:ms1:an0,bt2,120,222151984,1513907,6.5,120,2.2
133,lg1:pt6:live,21911,2022-12-16T01:15:00,27,28,si1:ms1:an0,bt3,-135,222152004,1513915,14.5,-135,1.74074075
134,lg1:pt6:live,21911,2022-12-16T01:15:00,27,28,si1:ms1:an0,bt1,625,222152022,1513925,0.0,625,7.25
