,marketLineId,isBlurred,marketId,marketSourceId,points,price,americanPrice,sourcePrice,sourceFormat,alternateNumber,statusId,sequenceNumber,overrideType,includePeg,stn,cr,ib,tm,createdOn,createdBy,modifiedOn,modifiedBy,id,0
si1:ms11:an0,218395313.0,True,1447777.0,11.0,,-110.0,-110.0,1.69491,2.0,0.0,1.0,1670965929271.0,,True,,,False,,2022-12-12T13:59:06.706279,-5.0,2022-12-13T21:12:10.071692,-5.0,,
si1:ms55:an0,219898950.0,False,1447777.0,55.0,,-150.0,-150.0,-150.0,1.0,0.0,1.0,1670973291196.0,,True,0.0,-150.0,True,,2022-12-13T14:50:18.204125,-11.0,2022-12-13T23:14:53.323021,-11.0,,
si1:ms17:an0,218444920.0,False,1447777.0,17.0,,-155.0,-155.0,1.64516,2.0,0.0,1.0,1670963496323.0,,True,0.0,-155.0,True,,2022-12-12T15:46:58.747172,-2.0,2022-12-13T20:31:47.698068,-2.0,,
si1:ms27:an0,218444923.0,False,1447777.0,27.0,,-155.0,-155.0,1.64516,2.0,0.0,1.0,1670963560845.0,,True,0.0,-155.0,True,,2022-12-12T15:46:58.784784,-2.0,2022-12-13T20:32:52.717766,-2.0,,
si1:ms59:an0,218404993.0,False,1447777.0,59.0,0.0,-150.0,-150.0,-150.0,1.0,0.0,1.0,1670963182349.0,,True,0.0,-150.0,True,,2022-12-12T14:24:40.298383,-42.0,2022-12-13T20:26:28.022359,-42.0,,
si1:ms67:an0,218395840.0,False,1447777.0,67.0,,-144.0,-144.0,590000.0,5.0,0.0,1.0,1670980653867.0,,True,0.0,-144.0,True,,2022-12-12T14:00:12.768489,-65.0,2022-12-14T01:17:34.937628,-65.0,,
si1:ms54:an0,218437924.0,False,1447777.0,54.0,,-144.0,-144.0,-144.0,1.0,0.0,1.0,1670963216844.0,,True,0.0,-144.0,True,,2022-12-12T15:32:19.943038,-11.0,2022-12-13T20:26:59.182657,-11.0,,
si1:ms6:an0,218425554.0,True,1447777.0,6.0,,-110.0,-110.0,-154.0,1.0,0.0,1.0,1670971736661.0,,True,,,True,,2022-12-12T15:04:25.412796,-16.0,2022-12-13T22:48:58.205125,-16.0,,
si1:ms4:an0,218444922.0,False,1447777.0,4.0,,-140.0,-140.0,1.71429,2.0,0.0,1.0,1670963536547.0,,True,0.0,-140.0,True,,2022-12-12T15:46:58.772355,-2.0,2022-12-13T20:32:28.030025,-2.0,,
si1:ms62:an0,,,,,,,,,,,,,,,,,,,,,,,,
si1:ms61:an0,,,,,,,,,,,,,,,,,,,,,,,,
